id	command	Type	imgfile	Frame	bShow	pageid
438	#t呕吐	animate	\ui\Image\UICommon\Talk_face19.UITex	7		21
439	#t色	animate	\ui\Image\UICommon\Talk_face19.UITex	8		21
440	#t睡觉	animate	\ui\Image\UICommon\Talk_face19.UITex	9		21
441	#t掀桌	animate	\ui\Image\UICommon\Talk_face19.UITex	10		21
442	#t再见	animate	\ui\Image\UICommon\Talk_face19.UITex	11		21
443	#u打盹	animate	\ui\Image\UICommon\Talk_face20.UITex	0		22
444	#u媚眼	animate	\ui\Image\UICommon\Talk_face20.UITex	1		22
445	#u沉默	animate	\ui\Image\UICommon\Talk_face20.UITex	2		22
446	#u再见	animate	\ui\Image\UICommon\Talk_face20.UITex	3		22
447	#u害怕	animate	\ui\Image\UICommon\Talk_face20.UITex	4		22
448	#u害羞	animate	\ui\Image\UICommon\Talk_face20.UITex	5		22
449	#u哭	animate	\ui\Image\UICommon\Talk_face20.UITex	6		22
450	#u鄙视	animate	\ui\Image\UICommon\Talk_face20.UITex	7		22
451	#u流汗	animate	\ui\Image\UICommon\Talk_face20.UITex	8		22
452	#u怒	animate	\ui\Image\UICommon\Talk_face20.UITex	9		22
453	#v可怜	animate	\ui\Image\UICommon\Talk_face21.UITex	0		23
454	#v沉默	animate	\ui\Image\UICommon\Talk_face21.UITex	1		23
455	#v流汗	animate	\ui\Image\UICommon\Talk_face21.UITex	2		23
456	#v生气	animate	\ui\Image\UICommon\Talk_face21.UITex	3		23
457	#v再见	animate	\ui\Image\UICommon\Talk_face21.UITex	4		23
458	#v抠鼻	animate	\ui\Image\UICommon\Talk_face21.UITex	5		23
459	#v呕吐	animate	\ui\Image\UICommon\Talk_face21.UITex	6		23
460	#v鄙视	animate	\ui\Image\UICommon\Talk_face21.UITex	7		23
461	#v害羞	animate	\ui\Image\UICommon\Talk_face21.UITex	8		23
462	#v哭	animate	\ui\Image\UICommon\Talk_face21.UITex	9		23
463	#v色	animate	\ui\Image\UICommon\Talk_face21.UITex	10		23
464	#v打盹	animate	\ui\Image\UICommon\Talk_face21.UITex	11		23
465	#v好吃	animate	\ui\Image\UICommon\Talk_face22.UITex	0		23
466	#v讨厌	animate	\ui\Image\UICommon\Talk_face22.UITex	1		23
467	#v鼓掌	animate	\ui\Image\UICommon\Talk_face22.UITex	2		23
468	#v飞吻	animate	\ui\Image\UICommon\Talk_face22.UITex	3		23
469	#v大笑	animate	\ui\Image\UICommon\Talk_face22.UITex	4		23
470	#v疑惑	animate	\ui\Image\UICommon\Talk_face22.UITex	5		23
471	#y鄙视	animate	\ui\Image\UICommon\Talk_face23.UITex	0		24
472	#y沉默	animate	\ui\Image\UICommon\Talk_face23.UITex	1		24
473	#y害羞	animate	\ui\Image\UICommon\Talk_face23.UITex	2		24
474	#y可怜	animate	\ui\Image\UICommon\Talk_face23.UITex	3		24
475	#y抠鼻	animate	\ui\Image\UICommon\Talk_face23.UITex	4		24
476	#y哭	animate	\ui\Image\UICommon\Talk_face23.UITex	5		24
477	#y流汗	animate	\ui\Image\UICommon\Talk_face23.UITex	6		24
478	#y呕吐	animate	\ui\Image\UICommon\Talk_face23.UITex	7		24
479	#y色	animate	\ui\Image\UICommon\Talk_face23.UITex	8		24
480	#y睡觉	animate	\ui\Image\UICommon\Talk_face23.UITex	9		24
481	#y掀桌	animate	\ui\Image\UICommon\Talk_face23.UITex	10		24
482	#y再见	animate	\ui\Image\UICommon\Talk_face23.UITex	11		24
483	#yy生气	animate	\ui\Image\UICommon\Talk_face24.UITex	0		25
484	#yy无语	animate	\ui\Image\UICommon\Talk_face24.UITex	1		25
485	#yy哭	animate	\ui\Image\UICommon\Talk_face24.UITex	2		25
486	#yy口水	animate	\ui\Image\UICommon\Talk_face24.UITex	3		25
487	#yy再见	animate	\ui\Image\UICommon\Talk_face24.UITex	4		25
488	#yy躺平	animate	\ui\Image\UICommon\Talk_face24.UITex	5		25
489	#yy爱你	animate	\ui\Image\UICommon\Talk_face24.UITex	6		25
490	#yy害怕	animate	\ui\Image\UICommon\Talk_face24.UITex	7		25
491	#yy睡觉	animate	\ui\Image\UICommon\Talk_face24.UITex	8		25
492	#yy悄悄	animate	\ui\Image\UICommon\Talk_face24.UITex	9		25
493	#tz秃然	animate	\ui\Image\UICommon\Talk_face25.UITex	0		26
494	#tz得意	animate	\ui\Image\UICommon\Talk_face25.UITex	1		26
495	#tz耶嘿	animate	\ui\Image\UICommon\Talk_face25.UITex	2		26
496	#tz拒绝	animate	\ui\Image\UICommon\Talk_face26.UITex	0		26
497	#tz带我	animate	\ui\Image\UICommon\Talk_face26.UITex	1		26
498	#tz害怕	animate	\ui\Image\UICommon\Talk_face26.UITex	2		26
499	#tz蹦跶	animate	\ui\Image\UICommon\Talk_face26.UITex	3		26
500	#tz木鱼	animate	\ui\Image\UICommon\Talk_face26.UITex	4		26
501	#tz拔刀	animate	\ui\Image\UICommon\Talk_face26.UITex	5		26
502	#tz喜欢	animate	\ui\Image\UICommon\Talk_face26.UITex	6		26
503	#tz开锅	animate	\ui\Image\UICommon\Talk_face27.UITex	0		26
504	#tz痛饮	animate	\ui\Image\UICommon\Talk_face27.UITex	1		26
505	#tz贴贴	animate	\ui\Image\UICommon\Talk_face27.UITex	2		26
506	#tz疑惑	animate	\ui\Image\UICommon\Talk_face27.UITex	3		26
507	#tz潇洒	animate	\ui\Image\UICommon\Talk_face27.UITex	4		26
508	#tz算卦	animate	\ui\Image\UICommon\Talk_face28.UITex	0		26
509	#tz药丸	animate	\ui\Image\UICommon\Talk_face28.UITex	1		26
510	#nf大哭	animate	\ui\Image\UICommon\Talk_face29.UITex	0		27
511	#nf你瞅啥	animate	\ui\Image\UICommon\Talk_face29.UITex	1		27
512	#nf无语	animate	\ui\Image\UICommon\Talk_face29.UITex	2		27
513	#nf生气	animate	\ui\Image\UICommon\Talk_face29.UITex	3		27
514	#nf怕怕	animate	\ui\Image\UICommon\Talk_face29.UITex	4		27
515	#nf挠你哦	animate	\ui\Image\UICommon\Talk_face29.UITex	5		27
516	#nf再见	animate	\ui\Image\UICommon\Talk_face29.UITex	6		27
517	#nf睡觉	animate	\ui\Image\UICommon\Talk_face29.UITex	7		27
518	#nf求求你	animate	\ui\Image\UICommon\Talk_face29.UITex	8		27
519	#nf爱你	animate	\ui\Image\UICommon\Talk_face29.UITex	9		27
520	#mm玩球	animate	\ui\Image\UICommon\Talk_face32.UITex	0		28
521	#mm媚眼	animate	\ui\Image\UICommon\Talk_face32.UITex	1		28
522	#mm馋	animate	\ui\Image\UICommon\Talk_face32.UITex	2		28
523	#mm委屈	animate	\ui\Image\UICommon\Talk_face32.UITex	3		28
524	#mm惊恐	animate	\ui\Image\UICommon\Talk_face32.UITex	4		28
525	#mm偷听	animate	\ui\Image\UICommon\Talk_face32.UITex	5		28
526	#mm生气	animate	\ui\Image\UICommon\Talk_face32.UITex	6		28
527	#mm哭	animate	\ui\Image\UICommon\Talk_face32.UITex	7		28
528	#mm打盹	animate	\ui\Image\UICommon\Talk_face32.UITex	8		28
529	#mm冲	animate	\ui\Image\UICommon\Talk_face32.UITex	9		28
530	#cy卖萌	animate	\ui\Image\UICommon\Talk_face30.UITex	0		29
531	#cy微笑	animate	\ui\Image\UICommon\Talk_face30.UITex	1		29
532	#cy大笑	animate	\ui\Image\UICommon\Talk_face30.UITex	2		29
533	#cy难过	animate	\ui\Image\UICommon\Talk_face30.UITex	3		29
534	#cy哭泣	animate	\ui\Image\UICommon\Talk_face30.UITex	4		29
535	#cy送花	animate	\ui\Image\UICommon\Talk_face30.UITex	5		29
536	#cy大拇指	animate	\ui\Image\UICommon\Talk_face30.UITex	6		29
537	#cy耶	animate	\ui\Image\UICommon\Talk_face30.UITex	7		29
538	#cy震惊	animate	\ui\Image\UICommon\Talk_face30.UITex	8		29
539	#cy愤怒	animate	\ui\Image\UICommon\Talk_face30.UITex	9		29
540	#cy鼓掌	animate	\ui\Image\UICommon\Talk_face30.UITex	10		29
541	#cy鄙视	animate	\ui\Image\UICommon\Talk_face30.UITex	11		29
542	#cy小黑脸	animate	\ui\Image\UICommon\Talk_face31.UITex	0		29
543	#cy小黑手	animate	\ui\Image\UICommon\Talk_face31.UITex	1		29
544	#cy握手	animate	\ui\Image\UICommon\Talk_face31.UITex	2		29
545	#cy呕吐	animate	\ui\Image\UICommon\Talk_face31.UITex	3		29
546	#xy好的	animate	\ui\Image\UICommon\Talk_face33.UITex	0		30
547	#xy赞	animate	\ui\Image\UICommon\Talk_face33.UITex	1		30
548	#xy早上好	animate	\ui\Image\UICommon\Talk_face33.UITex	2		30
549	#xy愤怒	animate	\ui\Image\UICommon\Talk_face33.UITex	3		30
550	#xy加油	animate	\ui\Image\UICommon\Talk_face33.UITex	4		30
551	#xy在吗	animate	\ui\Image\UICommon\Talk_face33.UITex	5		30
552	#xy开心	animate	\ui\Image\UICommon\Talk_face33.UITex	6		30
553	#xy惊恐	animate	\ui\Image\UICommon\Talk_face33.UITex	7		30
554	#xy玫瑰	animate	\ui\Image\UICommon\Talk_face33.UITex	8		30
555	#xy激动	animate	\ui\Image\UICommon\Talk_face33.UITex	9		30
556	#ll冷漠	animate	\ui\Image\UICommon\Talk_face34.UITex	0		31
557	#ll完美	animate	\ui\Image\UICommon\Talk_face34.UITex	1		31
558	#ll生气	animate	\ui\Image\UICommon\Talk_face34.UITex	2		31
559	#ll吃	animate	\ui\Image\UICommon\Talk_face34.UITex	3		31
560	#ll努力	animate	\ui\Image\UICommon\Talk_face34.UITex	4		31
561	#ll难过	animate	\ui\Image\UICommon\Talk_face34.UITex	5		31
562	#ll害羞	animate	\ui\Image\UICommon\Talk_face34.UITex	6		31
563	#ll鬼脸	animate	\ui\Image\UICommon\Talk_face34.UITex	7		31
564	#ll不对劲	animate	\ui\Image\UICommon\Talk_face34.UITex	8		31
565	#ll就这	animate	\ui\Image\UICommon\Talk_face34.UITex	9		31
566	#xb生气	animate	\ui\Image\UICommon\Talk_face38.UITex	0		32
567	#xb惊喜	animate	\ui\Image\UICommon\Talk_face38.UITex	1		32
568	#xb偷看	animate	\ui\Image\UICommon\Talk_face38.UITex	2		32
569	#xb惊恐	animate	\ui\Image\UICommon\Talk_face38.UITex	3		32
570	#xb棒	animate	\ui\Image\UICommon\Talk_face38.UITex	4		32
571	#xb睡觉	animate	\ui\Image\UICommon\Talk_face38.UITex	5		32
572	#xb迷惑	animate	\ui\Image\UICommon\Talk_face38.UITex	6		32
573	#xb大吼	animate	\ui\Image\UICommon\Talk_face38.UITex	7		32
574	#xb委屈	animate	\ui\Image\UICommon\Talk_face38.UITex	8		32
575	#xb害羞	animate	\ui\Image\UICommon\Talk_face38.UITex	9		32
576	#jj疑惑	animate	\ui\Image\UICommon\Talk_face40.UITex	0		33
577	#jj害羞	animate	\ui\Image\UICommon\Talk_face40.UITex	1		33
578	#jj高歌	animate	\ui\Image\UICommon\Talk_face40.UITex	2		33
579	#jj惊吓	animate	\ui\Image\UICommon\Talk_face40.UITex	3		33
580	#jj媚眼	animate	\ui\Image\UICommon\Talk_face40.UITex	4		33
581	#jj爱心	animate	\ui\Image\UICommon\Talk_face40.UITex	5		33
582	#jj愤怒	animate	\ui\Image\UICommon\Talk_face40.UITex	6		33
583	#jj哭泣	animate	\ui\Image\UICommon\Talk_face40.UITex	7		33
584	#jj拍手	animate	\ui\Image\UICommon\Talk_face40.UITex	8		33
585	#jj盯	animate	\ui\Image\UICommon\Talk_face40.UITex	9		33
586	#dz可怜	animate	\ui\Image\UICommon\Talk_face39.UITex	0		34
587	#dz沉默	animate	\ui\Image\UICommon\Talk_face39.UITex	1		34
588	#dz流汗	animate	\ui\Image\UICommon\Talk_face39.UITex	2		34
589	#dz愤怒	animate	\ui\Image\UICommon\Talk_face39.UITex	3		34
590	#dz再见	animate	\ui\Image\UICommon\Talk_face39.UITex	4		34
591	#dz抠鼻	animate	\ui\Image\UICommon\Talk_face39.UITex	5		34
592	#dz呕吐	animate	\ui\Image\UICommon\Talk_face39.UITex	6		34
593	#dz鄙视	animate	\ui\Image\UICommon\Talk_face39.UITex	7		34
594	#dz害羞	animate	\ui\Image\UICommon\Talk_face39.UITex	8		34
595	#dz哭	animate	\ui\Image\UICommon\Talk_face39.UITex	9		34
596	#dz色	animate	\ui\Image\UICommon\Talk_face39.UITex	10		34
597	#dz打盹	animate	\ui\Image\UICommon\Talk_face39.UITex	11		34
598	#TT捏脸	animate	\ui\Image\UICommon\Talk_face41.UITex	0		35
599	#TT抖耳朵	animate	\ui\Image\UICommon\Talk_face41.UITex	1		35
600	#TT瞌睡	animate	\ui\Image\UICommon\Talk_face41.UITex	2		35
601	#TT哭泣	animate	\ui\Image\UICommon\Talk_face41.UITex	3		35
602	#TT崩溃	animate	\ui\Image\UICommon\Talk_face41.UITex	4		35
603	#TT气愤	animate	\ui\Image\UICommon\Talk_face41.UITex	5		35
604	#TT祈祷	animate	\ui\Image\UICommon\Talk_face41.UITex	6		35
605	#TT疑问	animate	\ui\Image\UICommon\Talk_face41.UITex	7		35
606	#TT饥饿	animate	\ui\Image\UICommon\Talk_face41.UITex	8		35
607	#TT吃瓜	animate	\ui\Image\UICommon\Talk_face41.UITex	9		35
608	#az背锅	animate	\ui\Image\UICommon\Talk_face42.UITex	0		36
609	#az比心	animate	\ui\Image\UICommon\Talk_face42.UITex	1		36
610	#az发呆	animate	\ui\Image\UICommon\Talk_face42.UITex	2		36
611	#az惊喜	animate	\ui\Image\UICommon\Talk_face42.UITex	3		36
612	#az开花	animate	\ui\Image\UICommon\Talk_face42.UITex	4		36
613	#az来火	animate	\ui\Image\UICommon\Talk_face42.UITex	5		36
614	#az石化	animate	\ui\Image\UICommon\Talk_face42.UITex	6		36
615	#az送花	animate	\ui\Image\UICommon\Talk_face42.UITex	7		36
616	#az偷看	animate	\ui\Image\UICommon\Talk_face42.UITex	8		36
617	#az吐	animate	\ui\Image\UICommon\Talk_face42.UITex	9		36
618	#az吃瓜	animate	\ui\Image\UICommon\Talk_face42.UITex	10		36
619	#hm生气	animate	\ui\Image\UICommon\Talk_face43.UITex	0		37
620	#hm冒头	animate	\ui\Image\UICommon\Talk_face43.UITex	1		37
621	#hm大哭	animate	\ui\Image\UICommon\Talk_face43.UITex	2		37
622	#hm比心	animate	\ui\Image\UICommon\Talk_face43.UITex	3		37
623	#hm开心	animate	\ui\Image\UICommon\Talk_face43.UITex	4		37
624	#hm收到	animate	\ui\Image\UICommon\Talk_face43.UITex	5		37
625	#hm迷惑	animate	\ui\Image\UICommon\Talk_face43.UITex	6		37
626	#hm无语	animate	\ui\Image\UICommon\Talk_face43.UITex	7		37
627	#hm抱拳	animate	\ui\Image\UICommon\Talk_face43.UITex	8		37
628	#hm被打	animate	\ui\Image\UICommon\Talk_face43.UITex	9		37
629	#lt晕	animate	\ui\Image\UICommon\Talk_face44.UITex	0		38
630	#lt捏脸	animate	\ui\Image\UICommon\Talk_face44.UITex	1		38
631	#lt傻了	animate	\ui\Image\UICommon\Talk_face44.UITex	2		38
632	#lt比心	animate	\ui\Image\UICommon\Talk_face44.UITex	3		38
633	#lt偷笑	animate	\ui\Image\UICommon\Talk_face44.UITex	4		38
634	#lt哭	animate	\ui\Image\UICommon\Talk_face44.UITex	5		38
635	#lt惊吓	animate	\ui\Image\UICommon\Talk_face44.UITex	6		38
636	#lt送花	animate	\ui\Image\UICommon\Talk_face44.UITex	7		38
637	#lt拜拜	animate	\ui\Image\UICommon\Talk_face44.UITex	8		38
638	#lt迷惑	animate	\ui\Image\UICommon\Talk_face44.UITex	9		38
639	#bb无语	animate	\ui\Image\UICommon\Talk_face46.UITex	0		39
640	#bb很棒	animate	\ui\Image\UICommon\Talk_face46.UITex	1		39
641	#bb昏睡	animate	\ui\Image\UICommon\Talk_face46.UITex	2		39
642	#bb生气	animate	\ui\Image\UICommon\Talk_face46.UITex	3		39
643	#bb接好运	animate	\ui\Image\UICommon\Talk_face46.UITex	4		39
644	#bb摸摸头	animate	\ui\Image\UICommon\Talk_face46.UITex	5		39
645	#bb元宝	animate	\ui\Image\UICommon\Talk_face46.UITex	6		39
646	#bb对手指	animate	\ui\Image\UICommon\Talk_face46.UITex	7		39
647	#bb吃瓜	animate	\ui\Image\UICommon\Talk_face46.UITex	8		39
648	#bb出现	animate	\ui\Image\UICommon\Talk_face46.UITex	9		39
649	#wl可怜	animate	\ui\Image\UICommon\Talk_face49.UITex	0		40
650	#wl沉默	animate	\ui\Image\UICommon\Talk_face49.UITex	1		40
651	#wl流汗	animate	\ui\Image\UICommon\Talk_face49.UITex	2		40
652	#wl愤怒	animate	\ui\Image\UICommon\Talk_face49.UITex	3		40
653	#wl再见	animate	\ui\Image\UICommon\Talk_face49.UITex	4		40
654	#wl抠鼻	animate	\ui\Image\UICommon\Talk_face49.UITex	5		40
655	#wl呕吐	animate	\ui\Image\UICommon\Talk_face49.UITex	6		40
656	#wl鄙视	animate	\ui\Image\UICommon\Talk_face49.UITex	7		40
657	#wl害羞	animate	\ui\Image\UICommon\Talk_face49.UITex	8		40
658	#wl哭	animate	\ui\Image\UICommon\Talk_face49.UITex	9		40
659	#wl色	animate	\ui\Image\UICommon\Talk_face49.UITex	10		40
660	#wl打盹	animate	\ui\Image\UICommon\Talk_face49.UITex	11		40
661	#xhm无语	animate	\ui\Image\UICommon\Talk_face50.UITex	0		41
662	#xhm很棒	animate	\ui\Image\UICommon\Talk_face50.UITex	1		41
663	#xhm可怜	animate	\ui\Image\UICommon\Talk_face50.UITex	2		41
664	#xhm许愿	animate	\ui\Image\UICommon\Talk_face50.UITex	3		41
665	#xhm期待	animate	\ui\Image\UICommon\Talk_face50.UITex	4		41
666	#xhm摔倒	animate	\ui\Image\UICommon\Talk_face50.UITex	5		41
667	#xhm害羞	animate	\ui\Image\UICommon\Talk_face50.UITex	6		41
668	#xhm昏迷	animate	\ui\Image\UICommon\Talk_face50.UITex	7		41
669	#xhm睡觉	animate	\ui\Image\UICommon\Talk_face50.UITex	8		41
670	#xhm惊吓	animate	\ui\Image\UICommon\Talk_face50.UITex	9		41
671	#xhr哭哭	animate	\ui\Image\UICommon\Talk_face51.UITex	0		42
672	#xhr得意	animate	\ui\Image\UICommon\Talk_face51.UITex	1		42
673	#xhr想想	animate	\ui\Image\UICommon\Talk_face51.UITex	2		42
674	#xhr生气	animate	\ui\Image\UICommon\Talk_face51.UITex	3		42
675	#xhr求求	animate	\ui\Image\UICommon\Talk_face51.UITex	4		42
676	#xhr惊讶	animate	\ui\Image\UICommon\Talk_face51.UITex	5		42
677	#xhr期待	animate	\ui\Image\UICommon\Talk_face51.UITex	6		42
678	#xhr喷水	animate	\ui\Image\UICommon\Talk_face51.UITex	7		42
679	#xhr睡了	animate	\ui\Image\UICommon\Talk_face51.UITex	8		42
680	#xhr送心	animate	\ui\Image\UICommon\Talk_face51.UITex	9		42
