nType	szDesc	szImage	nFrame	szFrame	szTip	nSubType	nLevel	fScale
175	蓝-工坊80%血	ui\Image\GuildLeagueMatches\GuildLeagueMatches4.UITex	77	Resource_GuildLeagueMatches_GuildLeagueMatches4_蓝色工坊80_20.png	工坊80%	0		0.9
176	蓝-工坊100%血	ui\Image\GuildLeagueMatches\GuildLeagueMatches4.UITex	81	Resource_GuildLeagueMatches_GuildLeagueMatches4_蓝色工坊100_20.png	工坊100%	0		0.9
177	红色旗帜	ui\Image\Minimap\Minimap3.UITex	16	Resource_Minimap_Minimap3_恶人谷旗.png	红方占领			0.6
178	蓝色旗帜	ui\Image\Minimap\Minimap3.UITex	17	Resource_Minimap_Minimap3_浩气盟旗.png	蓝方占领			0.6
179	白色旗帜	ui\Image\Minimap\Minimap3.UITex	18	Resource_Minimap_Minimap3_灰色旗.png	无人占领			0.6
180	战象	ui\Image\Minimap\Minimap.UITex	22	Resource_Minimap_Minimap_轻功点点标识-高亮(3).png	天原战象			0.5
181	绳池剑宗物资	ui\Image\Minimap\Minimap.UITex	246	Resource_Minimap_Minimap_蓝色标识.png	绳池剑宗物资			0.5
182	武家物资	ui\Image\Minimap\Minimap.UITex	202	Resource_Minimap_Minimap_稻草人标识.png	武家物资			0.5
183	药宗	ui\Image\icon\skill_21_9_10_2.UITex	0	Resource\icon\skill\BeiTianYaoZong\skill_21_9_10_2.png	药宗	0		0.4
184	刀宗	ui/Image/icon/skill_22_9_7_2.UITex	0	Resource\icon\skill\DaoZong\skill_22_9_7_1.png	刀宗	0		0.4
185	洱海神兵匣	ui/Image/Minimap/BattleMinimap.UITex	63	Resource_Minimap_BattleMinimap_吃鸡地图宝箱小.png	洱海神兵匣			0.5
186	战战兢兢的马贼	ui/Image/Minimap/BattleMinimap.UITex	65	Resource_Minimap_BattleMinimap_吃鸡地图马贼小.png	战战兢兢的马贼			0.5
187	日无暇晷·秘	ui/Image/Minimap/Minimap.UITex	354		日无暇晷·秘			0.7
188	日无暇晷·绝	ui/Image/Minimap/Minimap.UITex	357		日无暇晷·绝			0.7
189	日无暇晷	ui/Image/Minimap/Minimap.UITex	356		日无暇晷			0.7
190	流尘玉匣	ui/Image/Minimap/Minimap.UITex	331		流尘玉匣			0.7
191	魂灯	ui/Image/Minimap/Minimap.UITex	355		魂灯			0.7
192	首领	ui/Image/Minimap/Minimap.UITex	352		神秘侠客			0.7
193	首领	ui/Image/Minimap/Minimap.UITex	352		首领			0.3
194	秘籍商人	ui/Image/Minimap/Minimap.UITex	8	Resource_Minimap_BattleMinimap_吃鸡地图马贼小.png	秘籍商人			0.5
195	红色箭塔	ui\Image\GuildLeagueMatches\GuildLeagueMatches4.UITex	90	Resource_GuildLeagueMatches_GuildLeagueMatches4_神机台新20x20_红.png	红方神机台	0		0.5
196	蓝色箭塔	ui\Image\GuildLeagueMatches\GuildLeagueMatches4.UITex	91	Resource_GuildLeagueMatches_GuildLeagueMatches4_神机台新20x20_蓝色.png	蓝方神机台	0		0.5
197	万灵	ui/Image/icon/skill_23_8_22_1.UITex	0	Resource\icon\skill\WanLingShanZhuang\skill_23_8_22_1.png	万灵	0		0.4
